"TITLE","ARTICLE LINK","PUBLISHED DATE (UTC)","AUTHOR","PUBLISHER","COUNTRY","CATEGORY","LANGUAGE","DESCRIPTION","IMAGE URL","VIDEO URL"
"""Tesla Shanghai Capacity Will Exceed 1 Million Cars In 2022, BYD Blade Batteries Coming""","https://cleantechnica.com/2022/02/14/tesla-shanghai-capacity-will-exceed-1-million-cars-in-2022-byd-blade-batteries-coming/","14-02-2022 05:28:46","Steve Hanley","Clean Technica","United States Of America","Business","English","Tesla's Giga Shanghai is expanding and will soon be able to manufacture more than 1 million cars a year.","",""
"""Elon Musk asegura que la 'verdadera' deuda de EU es de al menos 60 billones de dólares""","https://www.milenio.com/negocios/elon-musk-deuda-eu-60-billones-dolares","14-02-2022 05:05:43","Milenio Digital","Milenio","Mexico","Top","Spanish","El director ejecutivo de Tesla y SpaceX, Elon Musk, estimó que la deuda de Estados Unidos en tres veces mayor a su economía. ?La verdadera deuda nacional, incluidos los derechos no financiados, es de al menos 60 billones de dólares, aproximadamente tres veces el tamaño de toda la economía de los Estados Unidos. Algo tiene que ceder.?, señaló el multimillonario a través de su cuenta de Twitter.True national debt, including unfunded entitlements, is at least $60 trillion ? roughly three times the size of the entire US economy. Something has got to give.? Elon Musk (@elonmusk) February 11, 2022 Esto como parte de los comentarios en respuesta a una publicación del medio satírico The Babylon Bee, en donde señaló que supuestamente el presidente estadunidense, Joe Biden, planeaba pagar la deuda pública apostando ?doble o nada? en el equipo de futbol de los Cincinnati Bengals en el Super Bowl. Según el Departamento del Tesoro de Estados Unidos el total de la deuda de dicho país ya supera los 30 billones de dólares, dio a conocer el martes pasado.El endeudamiento del gobierno se aceleró durante la pandemia de covid-19, como parte del gasto del gobierno estadunidense para amortiguar el golpe económico de la crisis. La deuda pública se ha disparado en alrededor 7 billones desde finales de 2019.m{1861862}RM?","http://www.milenio.com/uploads/media/2022/02/13/elon-musk-estimo-deuda-unidos.jpeg",""
"""Tesla recall for heater and defroster systems issued by Transport Canada""","https://www.teslarati.com/tesla-recall-heater-defroster-system-transport-canada/","14-02-2022 05:03:33","Maria Merano","Teslarati","United States Of America","Technology","English","Transport Canada issued a recall for the Tesla Model 3, Model Y, and Model S on February 3, 2022, the agency told Teslarati recently. The recall was issued after the agency discovered an issue with the heat system in certain Tesla vehicles.  Transport Canada reported that a little over 2,084 Tesla vehicles were affected by the recall. The recall […] The post Tesla recall for heater and defroster systems issued by Transport Canada appeared first on TESLARATI.","",""
"""China representó la mitad de las ventas globales de coches eléctricos en 2021""","https://www.infobae.com/america/agencias/2022/02/14/china-represento-la-mitad-de-las-ventas-globales-de-coches-electricos-en-2021-2/","14-02-2022 04:30:36","Newsroom Infobae","Infobae","United States Of America","Top","Spanish","","",""
"""Tesla Model Y = Top Selling SUV in California in 2021""","https://cleantechnica.com/2022/02/13/tesla-model-y-top-selling-suv-in-california-in-2021/","14-02-2022 03:24:29","Zachary Shahan","Clean Technica","United States Of America","Business","English","It’s hard to believe, even as someone who has been placed firmly on the Tesla bull list for a decade, but the Tesla Model Y ended 2021 as the top selling SUV or truck in California! That is across all types of SUVs and trucks. The Model Y outsold the #2 Toyota RAV4, a much […]","",""
"""Tesla’s next facility in China may be located in Shenyang: local gov’t announcement""","https://www.teslarati.com/tesla-gigafactory-shenyang/","14-02-2022 02:51:31","Maria Merano","Teslarati","United States Of America","Technology","English","On Friday, February 11, the Liaoning Province hinted that Tesla was searching for a second Gigafactory in China. One of the potential locations for Tesla’s next factory is the District of Shenyang.  Liaoning Province released an announcement on its official WeChat account. It published an article with a title roughly translating to “Five Grasps of […] The post Tesla’s next facility in China may be located in Shenyang: local gov’t announcement appeared first on TESLARATI.","",""
"""Risikoarm in die Tesla-Aktie investieren: Ein Tesla-ETF soll dies möglich machen""","https://www.finanzen.net/nachricht/etf/tesla-etf-risikoarm-in-die-tesla-aktie-investieren-ein-tesla-etf-soll-dies-moeglich-machen-11021681","14-02-2022 02:27:45","","Finanzen","Germany","Business","German","• Tesla-Aktie mit starker Kursperformance aber auch starken Schwankungen• Tesla-ETF soll das Volatilitätsrisiko senken• Aufwärtspotenzial ebenfalls begrenztDie Tesla-Aktie ...","",""
"""La verdadera deuda nacional de EU puede ser 3 veces mayor a el tamaño de su economía: Elon Musk""","https://www.elfinanciero.com.mx/economia/2022/02/13/la-verdadera-deuda-nacional-de-eu-puede-ser-3-veces-mayor-a-el-tamano-de-su-economia-elon-musk/","14-02-2022 01:17:47","Redacción","El Financiero","Mexico","Top","Spanish","Elon Musk es un programador y magnate empresario sudafricano, con nacionalización canadiense y estadounidense y director general de SpaceX, de Tesla Motors.","",""
"""Polestar fires shots at Tesla and Volkswagen, promises ‘no compromises’ in Super Bowl ad""","https://www.theverge.com/2022/2/13/22932414/polestar-super-bowl-ad-commercial-no-compromises-tesla-volkswagen","14-02-2022 00:52:10","Chaim Gartenberg","The Verge","United States Of America","Top","English","","",""
"""Polestar fires shots at Tesla and Volkswagen, promises 'no compromises' in Super Bowl ad - The Verge""","https://news.google.com/__i/rss/rd/articles/CBMibWh0dHBzOi8vd3d3LnRoZXZlcmdlLmNvbS8yMDIyLzIvMTMvMjI5MzI0MTQvcG9sZXN0YXItc3VwZXItYm93bC1hZC1jb21tZXJjaWFsLW5vLWNvbXByb21pc2VzLXRlc2xhLXZvbGtzd2FnZW7SAQA?oc=5","14-02-2022 00:52:10","","Google News","United States Of America","Business","English","Polestar fires shots at Tesla and Volkswagen, promises 'no compromises' in Super Bowl ad  The VergeEV start-up Polestar takes shots at Tesla CEO Elon Musk and Volkswagen in Super Bowl ad  CNBCThe Polestar 2 Super Bowl Commercial Took A Big Jab At Tesla  SlashGearAmong Super Bowl Car Commercials, Americans May Ask: What's a Polestar?  InsideHookView Full Coverage on Google News","",""
